FILE NAME,SITE NAME,SITE CODE,COUNTRY,CONTRIBUTOR (ABBREVIATED),CONTRIBUTOR (FULL),CONTRIBUTOR WEBSITE,CONTRIBUTOR CONTACT,ORGINATOR,ORIGINATOR WEBSITE,ORIGINATOR CONTACT,LATITUDE,LONGITUDE,COORDINATE SYSTEM,START DATE/TIME,END DATE/TIME,NUMBER OF YEARS,TIME ZONE HOURS,DATUM INFORMATION,INSTRUMENT,PRECISION,NULL VALUE,GAUGE TYPE,OVERALL RECORD QUALITYDATA COMPLETENESS BETWEEN 2013-2018,
new_york_ny-745a-usa-uhslc,New_York_NY,745A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,40.7,-74.015,Unspecified,1920-06-01 5:00,2018-12-31 23:00,95,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
astoria_or-572a-usa-uhslc,Astoria_OR,572A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,46.208,-123.767,Unspecified,1925-01-25 8:00,2018-12-31 23:00,94,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
prince_rupert-540a-can-uhslc,Prince_Rupert,540A,CAN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,Unspecified,Unspecified,54.317,-130.323,Unspecified,1909-01-01 9:00,2018-12-31 23:00,93,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
tregde-804a-nor-uhslc,Tregde,804A,NOR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,Unspecified,Unspecified,58,7.567,Unspecified,1927-10-04 23:00,2018-12-31 23:00,92,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
eastport_me-740a-usa-uhslc,Eastport_ME,740A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,44.903,-66.985,Unspecified,1929-09-12 5:00,2018-12-31 23:00,90,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
newport_ri-253a-usa-uhslc,Newport_RI,253A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,41.505,-71.327,Unspecified,1930-09-10 5:00,2018-12-31 23:00,89,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
neah_bay_wa-558a-usa-uhslc,Neah_Bay_WA,558A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,48.368,-124.617,Unspecified,1934-08-01 8:00,2018-12-31 23:00,85,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
lewes_de-747a-usa-uhslc,Lewes_DE,747A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,38.782,-75.12,Unspecified,1919-02-01 5:00,2018-12-31 23:00,85,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
wilmington_nc-750a-usa-uhslc,Wilmington_NC,750A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,34.227,-77.953,Unspecified,1935-12-28 5:00,2018-12-31 23:00,84,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
crescent_city_ca-556a-usa-uhslc,Crescent_City_CA,556A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,41.745,-124.183,Unspecified,1933-04-11 13:00,2018-12-31 23:00,83,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
sitka_ak-559a-usa-uhslc,Sitka_AK,559A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,57.052,-135.342,Unspecified,1938-05-20 1:00,2018-12-31 23:00,81,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
st_petersburg_fl-759a-usa-uhslc,St_Petersburg_FL,759A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,27.76,-82.627,Unspecified,1946-12-18 19:00,2018-12-31 23:00,73,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
port_isabel_tx-772a-usa-uhslc,Port_Isabel_TX,772A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,26.06,-97.215,Unspecified,1944-04-01 6:00,2018-12-31 23:00,73,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
midway-050a-usa-uhslc,Midway,050A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,28.217,-177.367,Unspecified,1947-02-08 4:00,2018-12-31 23:00,72,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
pago_pago-056a-asm-uhslc,Pago_Pago,056A,ASM,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,-14.283,-170.683,Unspecified,1948-09-08 11:00,2018-12-31 23:00,71,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
kahului-059a-usa-uhslc,Kahului,059A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,20.9,-156.467,Unspecified,1950-10-19 2:00,2018-12-31 23:00,69,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
port_san_luis_ca-565a-usa-uhslc,Port_San_Luis_CA,565A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,35.177,-120.76,Unspecified,1948-01-01 8:00,2018-12-31 23:00,68,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
wake-051a-usa-uhslc,Wake,051A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,19.283,166.617,Unspecified,1950-05-30 12:00,2018-12-31 23:00,68,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
nawiliwili-058a-usa-uhslc,Nawiliwili,058A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA,Unspecified,Unspecified,21.967,-159.35,Unspecified,1954-12-01 14:00,2018-12-31 23:00,65,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
fernandina_beach-240a-usa-uhslc,Fernandina_Beach,240A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,30.672,-81.467,Unspecified,1897/05/08 06:00:00,2018-12-31 23:00,62,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
naples_fl-757a-usa-uhslc,Naples_FL,757A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,26.13,-81.807,Unspecified,1965-03-04 5:00,2018-12-31 23:00,54,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
south_beach_or-592a-usa-uhslc,South_Beach_OR,592A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,44.625,-124.043,Unspecified,1967-02-01 8:00,2018-12-31 23:00,52,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
cordova_alaska-583b-usa-uhslc,Cordova_Alaska,583B,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,60.558,-145.753,Unspecified,1964-05-01 10:00,2018-12-31 23:00,51,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
seward_ak-560c-usa-uhslc,Seward_AK,560C,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,60.12,-149.427,Unspecified,1967-01-01 10:00,2018-12-31 23:00,49,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
charleston_or-575a-usa-uhslc,Charleston_OR,575A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,43.345,-124.322,Unspecified,1970-03-06 8:00,2018-12-31 23:00,47,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
monterey_ca-555a-usa-uhslc,Monterey_CA,555A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,36.605,-121.888,Unspecified,1973-11-08 8:00,2018-12-31 23:00,46,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
apalachicola_fl-760a-usa-uhslc,Apalachicola_FL,760A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,29.727,-84.982,Unspecified,1976-04-01 5:00,2018-12-31 23:00,43,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
humboldt_bay_ca-576a-usa-uhslc,Humboldt_Bay_CA,576A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,40.767,-124.217,Unspecified,1977-08-16 23:00,2018-12-31 23:00,42,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
san_juan_pr-245a-usa-uhslc,San_Juan_PR,245A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,18.46,-66.117,Unspecified,1977-11-29 19:00,2018-12-31 23:00,42,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
duck_pier_nc-260a-usa-uhslc,Duck_Pier_NC,260A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,36.183,-75.747,Unspecified,1978-06-01 5:00,2018-12-31 23:00,41,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
grand_isle_la-765a-usa-uhslc,Grand_Isle_LA,765A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,29.263,-89.957,Unspecified,1980-01-01 0:00,2018-12-31 23:00,39,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
dutch_harbor_ak-041b-usa-uhslc,Dutch_Harbor_AK,041B,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,53.88,-166.537,Unspecified,1982-01-01 11:00,2018-12-31 23:00,37,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
corpus_cristi_tx-770a-usa-uhslc,Corpus_Cristi_TX,770A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,27.58,-97.217,Unspecified,1983-12-01 3:00,2018-12-31 23:00,36,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
dauphin_island_al-763a-usa-uhslc,Dauphin_Island_AL,763A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,30.25,-88.075,Unspecified,1981-03-31 19:00,2018-12-31 23:00,35,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
sabine_pass_n_tx-766a-usa-uhslc,Sabine_Pass_N_TX,766A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,29.73,-93.87,Unspecified,1985-01-28 18:00,2018-12-31 23:00,34,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
arena_cove_ca-573a-usa-uhslc,Arena_Cove_CA,573A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,38.913,-123.708,Unspecified,1979-08-01 5:00,2018-12-31 23:00,34,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
andenes-800a-nor-uhslc,Andenes,800A,NOR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,Unspecified,Unspecified,69.317,16.15,Unspecified,1991-10-09 20:00,2018-12-31 23:00,28,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
nuku_hiva-031a-fra-uhslc,Nuku_Hiva,031A,FRA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,-8.93,-140.082,Unspecified,1982-04-01 0:00,2018-12-31 23:00,28,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
majuro-005b-mhl-uhslc,Majuro,005B,MHL,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,7.108,171.372,Unspecified,1993-05-14 1:00,2018-12-31 23:00,26,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
rarotonga-023b-cok-uhslc,Rarotonga,023B,COK,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,-21.2,-159.787,Unspecified,1993-02-20 1:00,2018-12-31 23:00,26,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
port_canaveral_fl-774a-usa-uhslc,Port_Canaveral_FL,774A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,28.415,-80.593,Unspecified,1994-10-21 10:00,2018-12-31 23:00,25,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
santa_barbara_ca-577a-usa-uhslc,Santa_Barbara_CA,577A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,34.408,-119.685,Unspecified,1979-08-01 5:00,2018-12-31 23:00,25,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
lamu-149b-ken-uhslc,Lamu,149B,KEN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,-2.272,40.903,Unspecified,1995-06-29 16:00,2018-12-31 23:00,24,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
palmeira-235a-cpv-uhslc,Palmeira,235A,CPV,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,16.755,-22.983,Unspecified,2000-03-12 4:00,2018-12-31 23:00,19,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
mona_is_pr-267a-usa-uhslc,Mona_Is_PR,267A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,18.09,-67.938,Unspecified,2006-09-18 16:00,2018-12-31 23:00,13,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
limon-268b-cri-uhslc,Limon,268B,CRI,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,9.988,-83.02,Unspecified,2009-10-15 19:00,2018-12-31 23:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,100
hakata-hd18-jpn-jodc_jcg,Hakata,HD18,JPN,JODC_JCG,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Coast Guard,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,33.61861667,130.4077833,Unspecified,1964-12-31 15:00,2019-12-31 14:00,55,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,100
saigo-ma54-jpn-jodc_jma,Saigo,MA54,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,36.20138333,133.3311167,Unspecified,1960-12-31 15:00,2019-12-31 14:00,60,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,100
uno-ma33-jpn-jodc_jma,Uno,MA33,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,34.48861667,133.94945,Unspecified,1964-12-31 15:00,2019-12-31 14:00,56,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,100
komatsushima-ma36-jpn-jodc_jma,Komatsushima,MA36,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,34.00916667,134.5877833,Unspecified,1963-12-31 15:00,2019-12-31 14:00,56,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,100
kobe-ma31-jpn-jodc_jma,Kobe,MA31,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,34.68221667,135.1902833,Unspecified,1964-12-31 15:00,2019-12-31 14:00,55,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,100
murotomisaki-ma37-jpn-jodc_jma,Murotomisaki,MA37,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,33.26638333,134.16445,Unspecified,1966-12-31 15:00,2019-12-31 14:00,53,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,100
